Variável;Conteúdo;;;;
ID_EMP;Identificador da empresa;;;;
ID_INST;Identificador da instalação;;;;
ID_MOV;Identificador do movimento;;;;
F_EMP;Primeiro registro da empresa;;;;
F_INST;Primeiro registro da instalação;;;;
EXP_PERC_16_19_EMP;Percentual de expedições das 16h às 19h da empresa;;;;
EXP_PERC_19_21_EMP;Percentual de expedições das 19h às 21h da empresa;;;;
EXP_PERC_21_24_EMP;Percentual de expedições das 21h às 24h da empresa;;;;
EXP_PERC_24_05_EMP;Percentual de expedições das 24h às 05h da empresa;;;;
REC_PERC_05_07_EMP;Percentual de recebimentos das 05h às 07h da empresa;;;;
REC_PERC_07_10_EMP;Percentual de recebimentos das 07h às 107h da empresa;;;;
REC_PERC_10_14_EMP;Percentual de recebimentos das 10h às 14h da empresa;;;;
REC_PERC_14_16_EMP;Percentual de recebimentos das 14h às 16h da empresa;;;;
REC_PERC_16_19_EMP;Percentual de recebimentos das 16h às 19h da empresa;;;;
REC_PERC_19_21_EMP;Percentual de recebimentos das 19h às 21h da empresa;;;;
REC_PERC_21_24_EMP;Percentual de recebimentos das 21h às 24h da empresa;;;;
REC_PERC_24_05_EMP;Percentual de recebimentos das 24h às 05h da empresa;;;;
VEIC_PROPRIOS_PERC_EMP;Percentual de movimentações por veículos próprios da empresa;;;;
VEIC_TERCEIRIZADOS_PERC_EMP;Percentual de movimentações por veículos terceirizados da empresa;;;;
PARADAS_PERC_EMP;Percentual de expedições que é feita com veículos que fazem várias paradas;;;;
VEIC_NUMERO_VIAGEM_EMP;Número de viagens por dia dos veículos próprios da empresa;;;;
VEIC_DISTANCIA_VIAGEM_EMP;Distância em km por viagem dos veículos próprios da empresa;;;;
VEIC_PARADA_VIAGEM_EMP;Número de paradas por viagem dos veículos próprios da empresa;;;;
FROTA_PRÓPRIA_EMP;Número total de veículos próprios da empresa;;;;
MOTOCICLETA_ATE_2004_EMP;Número de motocicleta anterior a 2004 da empresa;;;;
UTILITARIO_ATE_2004_EMP;Número de utilitário anterior a 2004 da empresa;;;;
VUC_ATE_2004_EMP;Número de VUC anterior a 2004 da empresa;;;;
TOCO_ATE_2004_EMP;Número de toco anterior a 2004 da empresa;;;;
TRUCK_ATE_2004_EMP;Número de truck anterior a 2004 da empresa;;;;
CARRETA_ATE_2004_EMP;Número de carreta anterior a 2004 da empresa;;;;
BITREM_ATE_2004_EMP;Número de bitrem anterior a 2004 da empresa;;;;
TREMINHAO_ATE_2004_EMP;Número de treminhão anterior a 2004 da empresa;;;;
OUTROVEIC_ATE_2004_EMP;Número de outro tipo de veículo anterior a 2004 da empresa;;;;
MOTOCICLETA_2004_A_2012_EMP;Número de motocicleta entre 2004 e 2012 da empresa;;;;
UTILITARIO_2004_A_2012_EMP;Número de utilitário entre 2004 e 2012 da empresa;;;;
VUC_2004_A_2012_EMP;Número de VUC entre 2004 e 2012 da empresa;;;;
TOCO_2004_A_2012_EMP;Número de toco entre 2004 e 2012 da empresa;;;;
TRUCK_2004_A_2012_EMP;Número de truck entre 2004 e 2012 da empresa;;;;
CARRETA_2004_A_2012_EMP;Número de carreta entre 2004 e 2012 da empresa;;;;
BITREM_2004_A_2012_EMP;Número de bitrem entre 2004 e 2012 da empresa;;;;
TREMINHAO_2004_A_2012_EMP;Número de treminhão entre 2004 e 2012 da empresa;;;;
